Device: PMTC0000   Connection type - First Gray Box  Date: 11/18/2021
Name;ID;Reg ID;Menu;Type;User rights;Nonvolatile;Min value;Max value;Short name;Print format;Name;Value
SM5-HW2 ;$3B;$1F;$11;u8;AUrS;NV;0;3;usrs0;[1/1,1/2,1/4,1/8];Microstep resolution;1/8
SM5-HW2 ;$3B;$21;$13;u8;AS;NV;0;1;SR;[Disable,Enable];Synchronous rectification;Enable
SM5-HW2 ;$3B;$20;$12;u16;AUrS;NV;1;20000;v_maxph0;%uHz;Maximum motor velocity;6000
SM5-HW2 ;$3B;$22;$14;u16;AUrS;NV;1;20000;v_min;%uHz;Minimum motor velocity;3000
SM5-HW2 ;$3B;$23;$15;u16;AUrS;NV;0;5000;a_max;%uHz/s;Acceleration;5000
SM5-HW2 ;$3B;$28;$1A;u8;AUrS;NV;0;250;current0;%.2fA;Winding chopping current;0.30
SM5-HW2 ;$3B;$2A;$1C;u8;AUrS;NV;0;5;ref_conf0;[NONE,LEFT,RIGHT,LEFT or RIGHT,HOME,HOME or RIGHT];Stop on refswitches;NONE
SM5-HW2 ;$3B;$2B;$1D;u8;AUrS;NV;0;7;ref_pol0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Invert reference switches;---
SM5-HW2 ;$3B;$2C;$1E;u8;AUrS;NV;0;1;stop_mode0;[ABRUPT,SOFT];Mode of stopping on refswitches;SOFT
SM5-HW2 ;$3B;$2D;$1F;u8;AUrS;NV;0;6;homingm0;[DISABLED,Hm 1->0,Hm 0->1,Hm 1->0  Lf 1->0,Hm 1->0  Lf 0->1,Lf 1->0,Lf 0->1];Reference search mode;Hm 0->1
SM5-HW2 ;$3B;$65;$1F;u32;AUrS;NV;1000000;1073741823;HSearchDist;%u;Reference search distance, steps;1000000
SM5-HW2 ;$3B;$60;$1F;u8;AUS;NV;0;1;SPwr;[OFF,ON];Reference sensors power;ON
SM5-HW2 ;$3B;$63;$1F;u8;AUS;NV;0;3;SPwrAutoOff;[home found,home,left,right];Reference sensors power auto off on;home found
SM5-HW2 ;$3B;$64;$68;u8;ArUrSr;;0;7;switches0;[---,H--,-L-,HL-,--R,H-R,-LR,HLR];Active switches;H--
SM5-HW2 ;$3B;$9;$F;u32;ArUrSr;;0;4294967295;Version;%06u;Firmware SM5;201202
__license:728c96f8013d1cade4e4a55ba68e1b36
